/home/ilchae/dataset/ILSVRC/Data/VID/train/ ./modules/imagenet_arrange.pkl
==== Start Cycle 0 ====
Cycle  0, K 62 (543), BinLoss 0.879, TripleLoss 0.219, Prec 0.240, Time 1.134
Cycle  0, K 63 (474), BinLoss 1.485, TripleLoss 0.176, Prec 0.362, Time 1.144
Cycle  0, K 64 (95), BinLoss 0.776, TripleLoss 0.158, Prec 0.189, Time 1.102
Cycle  0, K 65 (427), BinLoss 1.146, TripleLoss 0.225, Prec 0.163, Time 0.661
Cycle  0, K 66 (619), BinLoss 1.143, TripleLoss 0.169, Prec 0.251, Time 1.101
Cycle  0, K 67 (621), BinLoss 0.772, TripleLoss 0.167, Prec 0.285, Time 1.212
Cycle  0, K 68 (132), BinLoss 0.970, TripleLoss 0.221, Prec 0.248, Time 1.050
Cycle  0, K 69 (505), BinLoss 1.043, TripleLoss 0.178, Prec 0.262, Time 1.154
Cycle  0, K 70 (606), BinLoss 0.912, TripleLoss 0.341, Prec 0.334, Time 1.007
Cycle  0, K 71 (587), BinLoss 1.273, TripleLoss 0.315, Prec 0.153, Time 1.014
Cycle  0, K 72 (1382), BinLoss 0.916, TripleLoss 0.185, Prec 0.144, Time 0.322
Cycle  0, K 73 (1051), BinLoss 1.146, TripleLoss 0.223, Prec 0.172, Time 1.292
Cycle  0, K 74 (1091), BinLoss 1.397, TripleLoss 0.334, Prec 0.304, Time 0.622
Cycle  0, K 75 (1439), BinLoss 1.010, TripleLoss 0.276, Prec 0.244, Time 1.023
Cycle  0, K 76 (36), BinLoss 1.817, TripleLoss 0.218, Prec 0.274, Time 1.013
Cycle  0, K 77 (510), BinLoss 0.968, TripleLoss 0.198, Prec 0.216, Time 1.134
Cycle  0, K 78 (124), BinLoss 0.833, TripleLoss 0.280, Prec 0.278, Time 1.119
Cycle  0, K 79 (50), BinLoss 0.889, TripleLoss 0.216, Prec 0.228, Time 1.165
Cycle  0, K 80 (641), BinLoss 1.112, TripleLoss 0.148, Prec 0.190, Time 0.692
